Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
PRSS1,Serine protease 1,26 mg/L,26,mg/L,26000,26000,14.666224,2.558645601,0.99474596,
PON1,Paraoxonase 1,24 mg/L,24,mg/L,24000,24000,14.55074679,2.537123201,0.994411619,
SERPINA4,Serpin family A member 4,22 mg/L,22,mg/L,22000,22000,14.4252159,2.51372702,0.994026857,
CPN1,Carboxypeptidase N subunit 1,22 mg/L,22,mg/L,22000,22000,14.4252159,2.51372702,0.994026857,
ITIH2,Inter-alpha-trypsin inhibitor heavy chain 2,22 mg/L,22,mg/L,22000,22000,14.4252159,2.51372702,0.994026857,
SAA1,Serum amyloid A1,22 mg/L,22,mg/L,22000,22000,14.4252159,2.51372702,0.994026857,
C1RL,Complement C1r subcomponent like,20 mg/L,20,mg/L,20000,20000,14.28771238,2.488099403,0.993578608,
APOL1,Apolipoprotein L1,19 mg/L,19,mg/L,19000,19000,14.2137118,2.474307331,0.99332526,
APOM,Apolipoprotein M,18 mg/L,18,mg/L,18000,18000,14.13570929,2.459769388,0.993048684,
HBA2,Hemoglobin subunit alpha 2,17 mg/L,17,mg/L,17000,17000,14.05324713,2.444400264,0.99274534,
HBA1,Hemoglobin subunit alpha 1,17 mg/L,17,mg/L,17000,17000,14.05324713,2.444400264,0.99274534,
F10,Coagulation factor X,16 mg/L,16,mg/L,16000,16000,13.96578428,2.428099124,0.992410903,
SHBG,Sex hormone binding globulin,15 mg/L,15,mg/L,15000,15000,13.87267488,2.41074559,0.992040025,
CD14,CD14 molecule,15 mg/L,15,mg/L,15000,15000,13.87267488,2.41074559,0.992040025,
CFHR1,Complement factor H related 1,15 mg/L,15,mg/L,15000,15000,13.87267488,2.41074559,0.992040025,
HBB,Hemoglobin subunit beta,15 mg/L,15,mg/L,15000,15000,13.87267488,2.41074559,0.992040025,
CPB2,Carboxypeptidase B2,14 mg/L,14,mg/L,14000,14000,13.77313921,2.392194341,0.991626014,
C1R,Complement C1r,14 mg/L,14,mg/L,14000,14000,13.77313921,2.392194341,0.991626014,
KRT2,Keratin 2,14 mg/L,14,mg/L,14000,14000,13.77313921,2.392194341,0.991626014,
BCHE,Butyrylcholinesterase,13 mg/L,13,mg/L,13000,13000,13.666224,2.372267711,0.991160362,
PZP,"PZP, alpha-2-macroglobulin like",13 mg/L,13,mg/L,13000,13000,13.666224,2.372267711,0.991160362,
C1S,Complement C1s,13 mg/L,13,mg/L,13000,13000,13.666224,2.372267711,0.991160362,
F5,Coagulation factor V,13 mg/L,13,mg/L,13000,13000,13.666224,2.372267711,0.991160362,
ECM1,Extracellular matrix protein 1,12 mg/L,12,mg/L,12000,12000,13.55074679,2.350745311,0.990632073,
F9,Coagulation factor IX,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
LGALS3BP,Galectin 3 binding protein,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
HGFAC,HGF activator,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
SAA2,Serum amyloid A2,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
CFI,Complement factor I,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
HBD,Hemoglobin subunit delta,11 mg/L,11,mg/L,11000,11000,13.4252159,2.32734913,0.990026655,
GPX3,Glutathione peroxidase 3,10 mg/L,10,mg/L,10000,10000,13.28771238,2.301721514,0.989324559,
LCAT,Lecithin-cholesterol acyltransferase,9.5 mg/L,9.5,mg/L,9500,9500,13.2137118,2.287929442,0.988929185,
CFP,Complement factor properdin,8.5 mg/L,8.5,mg/L,8500,8500,13.05324713,2.258022375,0.988027868,
SELL,Selectin L,8.1 mg/L,8.1,mg/L,8100,8100,12.98370619,2.245061482,0.987617907,
CFD,Complement factor D,8.0 mg/L,8,mg/L,8000,8000,12.96578428,2.241721235,0.987510303,
CA1,Carbonic anhydrase 1,7.8 mg/L,7.8,mg/L,7800,7800,12.92925841,2.234913619,0.98728849,
C6,Complement C6,7.6 mg/L,7.6,mg/L,7600,7600,12.8917837,2.227929163,0.98705738,
KRT6A,Keratin 6A,7.2 mg/L,7.2,mg/L,7200,7200,12.81378119,2.213391219,0.986564657,
CHL1,Cell adhesion molecule L1 like,6.9 mg/L,6.9,mg/L,6900,6900,12.75238065,2.201947515,0.986165492,
CD5L,CD5 molecule like,6.8 mg/L,6.8,mg/L,6800,6800,12.73131903,2.198022096,0.986026234,
F12,Coagulation factor XII,6.6 mg/L,6.6,mg/L,6600,6600,12.68825031,2.189995038,0.985737702,
KRT5,Keratin 5,6.5 mg/L,6.5,mg/L,6500,6500,12.666224,2.185889822,0.985588166,
VWF,Von Willebrand factor,6.4 mg/L,6.4,mg/L,6400,6400,12.64385619,2.181720956,0.985434933,
PROC,"Protein C, inactivator of coagulation factors Va and VIIIa",6.4 mg/L,6.4,mg/L,6400,6400,12.64385619,2.181720956,0.985434933,
ACTC1,"Actin, alpha, cardiac muscle 1",6.2 mg/L,6.2,mg/L,6200,6200,12.5980525,2.173184161,0.98511677,
ACTA1,"Actin, alpha 1, skeletal muscle",6.1 mg/L,6.1,mg/L,6100,6100,12.57459353,2.168811927,0.984951517,
SERPINA10,Serpin family A member 10,5.9 mg/L,5.9,mg/L,5900,5900,12.52649924,2.159848215,0.984607789,
CFHR2,Complement factor H related 2,5.7 mg/L,5.7,mg/L,5700,5700,12.4767462,2.15057535,0.984245134,
IGFBP3,Insulin like growth factor binding protein 3,5.6 mg/L,5.6,mg/L,5600,5600,12.45121111,2.145816173,0.984056176,
CRP,C-reactive protein,5.4 mg/L,5.4,mg/L,5400,5400,12.39874369,2.136037406,0.983661818,
AFM,Afamin,5.0 mg/L,5,mg/L,5000,5000,12.28771238,2.115343624,0.982799665,
KLKB1,Kallikrein B1,4.9 mg/L,4.9,mg/L,4900,4900,12.25856603,2.10991139,0.982567006,
C1QB,Complement C1q B chain,4.7 mg/L,4.7,mg/L,4700,4700,12.19844504,2.098706166,0.982078595,
FETUB,Fetuin B,4.5 mg/L,4.5,mg/L,4500,4500,12.13570929,2.087013609,0.981556548,
ITIH3,Inter-alpha-trypsin inhibitor heavy chain 3,4.5 mg/L,4.5,mg/L,4500,4500,12.13570929,2.087013609,0.981556548,
F11,Coagulation factor XI,4.4 mg/L,4.4,mg/L,4400,4400,12.10328781,2.080970962,0.981281718,
PTGDS,Prostaglandin D2 synthase,4.3 mg/L,4.3,mg/L,4300,4300,12.07012094,2.074789392,0.980996971,
PRG4,Proteoglycan 4,4.3 mg/L,4.3,mg/L,4300,4300,12.07012094,2.074789392,0.980996971,
JCHAIN,Joining chain of multimeric IgA and IgM,4.2 mg/L,4.2,mg/L,4200,4200,12.03617361,2.06846236,0.980701717,
CST3,Cystatin C,4.1 mg/L,4.1,mg/L,4100,4100,12.00140819,2.061982855,0.980395316,
APOF,Apolipoprotein F,4.0 mg/L,4,mg/L,4000,4000,11.96578428,2.055343346,0.980077073,
CFHR3,Complement factor H related 3,3.8 mg/L,3.8,mg/L,3800,3800,11.8917837,2.041551273,0.979401969,
GPLD1,Glycosylphosphatidylinositol specific phospholipase D1,3.7 mg/L,3.7,mg/L,3700,3700,11.85330956,2.034380543,0.979043379,
C8B,Complement C8 beta chain,3.6 mg/L,3.6,mg/L,3600,3600,11.81378119,2.02701333,0.978669475,
TLN1,Talin 1,3.6 mg/L,3.6,mg/L,3600,3600,11.81378119,2.02701333,0.978669475,
PI16,Peptidase inhibitor 16,3.6 mg/L,3.6,mg/L,3600,3600,11.81378119,2.02701333,0.978669475,
PPBP,Pro-platelet basic protein,3.5 mg/L,3.5,mg/L,3500,3500,11.77313921,2.019438563,0.978279172,
F13B,Coagulation factor XIII B chain,3.4 mg/L,3.4,mg/L,3400,3400,11.73131903,2.011644206,0.977871272,
C8A,Complement C8 alpha chain,3.4 mg/L,3.4,mg/L,3400,3400,11.73131903,2.011644206,0.977871272,
PROS1,Protein S,3.4 mg/L,3.4,mg/L,3400,3400,11.73131903,2.011644206,0.977871272,
QSOX1,Quiescin sulfhydryl oxidase 1,3.2 mg/L,3.2,mg/L,3200,3200,11.64385619,1.995343067,0.976997262,
HABP2,Hyaluronan binding protein 2,3.2 mg/L,3.2,mg/L,3200,3200,11.64385619,1.995343067,0.976997262,
B2M,Beta-2-microglobulin,3.2 mg/L,3.2,mg/L,3200,3200,11.64385619,1.995343067,0.976997262,
ICAM1,Intercellular adhesion molecule 1,3.1 mg/L,3.1,mg/L,3100,3100,11.5980525,1.986806272,0.976528065,
MYH9,Myosin heavy chain 9,3.1 mg/L,3.1,mg/L,3100,3100,11.5980525,1.986806272,0.976528065,
LYVE1,Lymphatic vessel endothelial hyaluronan receptor 1,3.0 mg/L,3,mg/L,3000,3000,11.55074679,1.977989532,0.976035056,
BTD,Biotinidase,2.9 mg/L,2.9,mg/L,2900,2900,11.50183718,1.968873864,0.975516211,
FLNA,Filamin A,2.9 mg/L,2.9,mg/L,2900,2900,11.50183718,1.968873864,0.975516211,
LPA,Lipoprotein(a),2.9 mg/L,2.9,mg/L,2900,2900,11.50183718,1.968873864,0.975516211,
NCAM1,Neural cell adhesion molecule 1,2.8 mg/L,2.8,mg/L,2800,2800,11.45121111,1.959438284,0.97496926,
MCAM,Melanoma cell adhesion molecule,2.6 mg/L,2.6,mg/L,2600,2600,11.34429591,1.939511654,0.973780467,
LYZ,Lysozyme,2.6 mg/L,2.6,mg/L,2600,2600,11.34429591,1.939511654,0.973780467,
ACTBL2,"Actin, beta like 2",2.6 mg/L,2.6,mg/L,2600,2600,11.34429591,1.939511654,0.973780467,
FCGR3A,Fc fragment of IgG receptor IIIa,2.5 mg/L,2.5,mg/L,2500,2500,11.28771238,1.928965735,0.973132442,
CD44,CD44 molecule (Indian blood group),2.4 mg/L,2.4,mg/L,2400,2400,11.22881869,1.917989254,0.972443813,
VASN,Vasorin,2.4 mg/L,2.4,mg/L,2400,2400,11.22881869,1.917989254,0.972443813,
SERPINA5,Serpin family A member 5,2.3 mg/L,2.3,mg/L,2300,2300,11.16741815,1.90654555,0.971710269,
SELENOP,Selenoprotein P,2.3 mg/L,2.3,mg/L,2300,2300,11.16741815,1.90654555,0.971710269,
GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,2.2 mg/L,2.2,mg/L,2200,2200,11.10328781,1.894593073,0.970926833,
LCP1,Lymphocyte cytosolic protein 1,2.2 mg/L,2.2,mg/L,2200,2200,11.10328781,1.894593073,0.970926833,
KRT75,Keratin 75,2.2 mg/L,2.2,mg/L,2200,2200,11.10328781,1.894593073,0.970926833,
KRT16,Keratin 16,2.2 mg/L,2.2,mg/L,2200,2200,11.10328781,1.894593073,0.970926833,
KRT14,Keratin 14,2.2 mg/L,2.2,mg/L,2200,2200,11.10328781,1.894593073,0.970926833,
KRT77,Keratin 77,2.1 mg/L,2.1,mg/L,2100,2100,11.03617361,1.882084471,0.970087726,
DBH,Dopamine beta-hydroxylase,2.0 mg/L,2,mg/L,2000,2000,10.96578428,1.868965456,0.96918619,
GP1BA,Glycoprotein Ib platelet alpha subunit,2.0 mg/L,2,mg/L,2000,2000,10.96578428,1.868965456,0.96918619,
CNDP1,Carnosine dipeptidase 1,1.9 mg/L,1.9,mg/L,1900,1900,10.8917837,1.855173384,0.968214264,
PIGR,Polymeric immunoglobulin receptor,1.9 mg/L,1.9,mg/L,1900,1900,10.8917837,1.855173384,0.968214264,
VCL,Vinculin,1.8 mg/L,1.8,mg/L,1800,1800,10.81378119,1.84063544,0.9671625,
EFEMP1,EGF containing fibulin extracellular matrix protein 1,1.8 mg/L,1.8,mg/L,1800,1800,10.81378119,1.84063544,0.9671625,
MASP1,Mannan binding lectin serine peptidase 1,1.8 mg/L,1.8,mg/L,1800,1800,10.81378119,1.84063544,0.9671625,
FCN2,Ficolin 2,1.8 mg/L,1.8,mg/L,1800,1800,10.81378119,1.84063544,0.9671625,
ALCAM,Activated leukocyte cell adhesion molecule,1.8 mg/L,1.8,mg/L,1800,1800,10.81378119,1.84063544,0.9671625,
CFHR5,Complement factor H related 5,1.7 mg/L,1.7,mg/L,1700,1700,10.73131903,1.825266317,0.966019575,
HSPG2,Heparan sulfate proteoglycan 2,1.7 mg/L,1.7,mg/L,1700,1700,10.73131903,1.825266317,0.966019575,
MBL2,Mannose binding lectin 2,1.7 mg/L,1.7,mg/L,1700,1700,10.73131903,1.825266317,0.966019575,
IGF2,Insulin like growth factor 2,1.7 mg/L,1.7,mg/L,1700,1700,10.73131903,1.825266317,0.966019575,
POTEJ,POTE ankyrin domain family member J,1.7 mg/L,1.7,mg/L,1700,1700,10.73131903,1.825266317,0.966019575,
PROCR,Protein C receptor,1.6 mg/L,1.6,mg/L,1600,1600,10.64385619,1.808965177,0.964771793,
THBS1,Thrombospondin 1,1.6 mg/L,1.6,mg/L,1600,1600,10.64385619,1.808965177,0.964771793,
CD163,CD163 molecule,1.6 mg/L,1.6,mg/L,1600,1600,10.64385619,1.808965177,0.964771793,
F7,Coagulation factor VII,1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
RNASE1,"Ribonuclease A family member 1, pancreatic",1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
ANPEP,"Alanyl aminopeptidase, membrane",1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
C8G,Complement C8 gamma chain,1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
CSF1R,Colony stimulating factor 1 receptor,1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
APOC4,Apolipoprotein C4,1.5 mg/L,1.5,mg/L,1500,1500,10.55074679,1.791611643,0.963402402,
PF4V1,Platelet factor 4 variant 1,1.4 mg/L,1.4,mg/L,1400,1400,10.45121111,1.773060394,0.96189065,
TGFBI,Transforming growth factor beta induced,1.4 mg/L,1.4,mg/L,1400,1400,10.45121111,1.773060394,0.96189065,
F13A1,Coagulation factor XIII A chain,1.4 mg/L,1.4,mg/L,1400,1400,10.45121111,1.773060394,0.96189065,
GGH,Gamma-glutamyl hydrolase,1.4 mg/L,1.4,mg/L,1400,1400,10.45121111,1.773060394,0.96189065,
S100A9,S100 calcium binding protein A9,1.4 mg/L,1.4,mg/L,1400,1400,10.45121111,1.773060394,0.96189065,
PCOLCE,Procollagen C-endopeptidase enhancer,1.3 mg/L,1.3,mg/L,1300,1300,10.34429591,1.753133764,0.960210475,
C4BPB,Complement component 4 binding protein beta,1.3 mg/L,1.3,mg/L,1300,1300,10.34429591,1.753133764,0.960210475,
C1QC,Complement C1q C chain,1.3 mg/L,1.3,mg/L,1300,1300,10.34429591,1.753133764,0.960210475,
ICAM2,Intercellular adhesion molecule 2,1.2 mg/L,1.2,mg/L,1200,1200,10.22881869,1.731611364,0.958328609,
ALDOA,"Aldolase, fructose-bisphosphate A",1.2 mg/L,1.2,mg/L,1200,1200,10.22881869,1.731611364,0.958328609,
ALDOA,"Aldolase, fructose-bisphosphate A",1.2 mg/L,1.2,mg/L,1200,1200,10.22881869,1.731611364,0.958328609,
ITGA2B,Integrin subunit alpha 2b,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
COMP,Cartilage oligomeric matrix protein,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
PFN1,Profilin 1,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
VNN1,Vanin 1,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase 2,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
PRDX2,Peroxiredoxin 2,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
TNXB,Tenascin XB,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
KRT13,Keratin 13,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
C1QA,Complement C1q A chain,1.1 mg/L,1.1,mg/L,1100,1100,10.10328781,1.708215183,0.956201789,
HSPA5,Heat shock protein family A (Hsp70) member 5,1.0 mg/L,1,mg/L,1000,1000,9.965784285,1.682587567,0.95377252,
IGFBP2,Insulin like growth factor binding protein 2,1.0 mg/L,1,mg/L,1000,1000,9.965784285,1.682587567,0.95377252,
PEPD,Peptidase D,1.0 mg/L,1,mg/L,1000,1000,9.965784285,1.682587567,0.95377252,
CDH5,Cadherin 5,1.0 mg/L,1,mg/L,1000,1000,9.965784285,1.682587567,0.95377252,
ADIPOQ,"Adiponectin, C1Q and collagen domain containing",1.0 mg/L,1,mg/L,1000,1000,9.965784285,1.682587567,0.95377252,
COL6A3,Collagen type VI alpha 3 chain,990 µg/L,990,�g/L,990,990,9.951284715,1.679885168,0.95351017,
PLEK,Pleckstrin,970 µg/L,970,�g/L,970,970,9.921840937,1.674397498,0.952973748,
CAT,Catalase,960 µg/L,960,�g/L,960,960,9.906890596,1.671611085,0.952699481,
VCAM1,Vascular cell adhesion molecule 1,960 µg/L,960,�g/L,960,960,9.906890596,1.671611085,0.952699481,
TPM4,Tropomyosin 4,950 µg/L,950,�g/L,950,950,9.891783703,1.668795495,0.952421042,
KRT79,Keratin 79,950 µg/L,950,�g/L,950,950,9.891783703,1.668795495,0.952421042,
PVR,Poliovirus receptor,940 µg/L,940,�g/L,940,940,9.876516947,1.665950109,0.952138324,
ALDOB,"Aldolase, fructose-bisphosphate B",930 µg/L,930,�g/L,930,930,9.861086906,1.66307429,0.951851217,
KRT8,Keratin 8,920 µg/L,920,�g/L,920,920,9.845490051,1.660167381,0.951559608,
LBP,Lipopolysaccharide binding protein,910 µg/L,910,�g/L,910,910,9.829722735,1.657228702,0.951263377,
MASP2,Mannan binding lectin serine peptidase 2,880 µg/L,880,�g/L,880,880,9.781359714,1.648214904,0.95034571,
LCN2,Lipocalin 2,870 µg/L,870,�g/L,870,870,9.764871591,1.645141883,0.950029722,
PTPRJ,"Protein tyrosine phosphatase, receptor type J",840 µg/L,840,�g/L,840,840,9.714245518,1.635706302,0.949049465,
SOD3,Superoxide dismutase 3,830 µg/L,830,�g/L,830,830,9.696967526,1.632486067,0.948711434,
SELP,Selectin P,830 µg/L,830,�g/L,830,830,9.696967526,1.632486067,0.948711434,
LAMP2,Lysosomal associated membrane protein 2,820 µg/L,820,�g/L,820,820,9.6794801,1.629226797,0.948367492,
CA2,Carbonic anhydrase 2,790 µg/L,790,�g/L,790,790,9.625708843,1.619205024,0.947298421,
ACTN1,Actinin alpha 1,780 µg/L,780,�g/L,780,780,9.607330314,1.615779672,0.946929021,
LDHB,Lactate dehydrogenase B,780 µg/L,780,�g/L,780,780,9.607330314,1.615779672,0.946929021,
TNC,Tenascin C,760 µg/L,760,�g/L,760,760,9.569855608,1.608795216,0.946169436,
YWHAZ,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,760 µg/L,760,�g/L,760,760,9.569855608,1.608795216,0.946169436,
TIMP1,TIMP metallopeptidase inhibitor 1,750 µg/L,750,�g/L,750,750,9.550746785,1.605233754,0.945778814,
